entity_id	valid	rejected	polled	electors	UNP	SLFP	SLMC	TULF	INDI	USA	MEP	ELJP	IND 1	DPLF	USP	IND	ACTC	IND 2	USF	IND1	IND2
EC-01	724842.0000000003	35271.000000000015	760113.0	1087890.9999999995	374530.0	205053.00000000003	29308.00000000002	0	0	31872.999999999996	76966.0000000001	7111.999999999995	0	0	0	0	0	0	0	0	0
EC-01A	33180.0	2460.0	35640.0	53356.0	22052.0	5691.0	2786.0000000000005	0	0	1680.0	732.0	239.0	0	0	0	0	0	0	0	0	0
EC-01B	87397.99999999999	6126.000000000001	93524.0	131623.99999999997	49733.00000000001	11860.999999999998	19874.0	0	0	4399.0	1325.9999999999998	205.00000000000003	0	0	0	0	0	0	0	0	0
EC-01C	30688.0	1501.0	32189.0	47174.0	17324.0	8721.0	1603.9999999999998	0	0	1744.9999999999998	1040.0	254.0	0	0	0	0	0	0	0	0	0
EC-01D	31707.0	1439.0	33146.0	49993.0	17907.999999999996	8654.0	680.0	0	0	2482.0	1619.9999999999998	362.99999999999994	0	0	0	0	0	0	0	0	0
EC-01E	23042.000000000004	949.0	23991.0	36820.0	15265.0	4100.0	1258.9999999999998	0	0	1502.0	669.0	246.99999999999997	0	0	0	0	0	0	0	0	0
EC-01F	36000.0	1351.0000000000002	37351.0	52175.99999999999	19768.0	12193.000000000004	790.0000000000001	0	0	1341.0000000000002	1724.0000000000002	184.00000000000003	0	0	0	0	0	0	0	0	0
EC-01G	37839.00000000001	1601.9999999999998	39441.00000000001	54316.00000000001	21237.0	13063.000000000002	415.00000000000006	0	0	1500.0000000000005	1407.0000000000002	217.00000000000003	0	0	0	0	0	0	0	0	0
EC-01H	49530.00000000001	2477.0000000000005	52007.000000000015	74671.00000000001	24561.0	18531.000000000004	662.0	0	0	2917.0	2698.0	161.0	0	0	0	0	0	0	0	0	0
EC-01I	42861.0	1507.0	44367.999999999985	65984.0	20112.999999999996	17007.0	284.0	0	0	2041.0000000000002	3029.999999999999	386.0	0	0	0	0	0	0	0	0	0
EC-01J	56847.99999999999	2473.0	59320.999999999985	86029.0	25849.0	21306.000000000007	116.99999999999996	0	0	1849.9999999999995	7241.000000000003	484.9999999999999	0	0	0	0	0	0	0	0	0
EC-01K	49680.99999999998	2499.999999999999	52180.99999999999	67850.99999999999	23462.0	4131.000000000001	168.0000000000001	0	0	522.9999999999997	20224.999999999996	1172.0	0	0	0	0	0	0	0	0	0
EC-01L	50953.999999999985	3068.000000000001	54022.000000000044	82139.00000000006	24794.999999999993	14872.000000000002	81.0	0	0	1440.0000000000002	7920.000000000002	1846.0000000000007	0	0	0	0	0	0	0	0	0
EC-01M	54783.00000000001	2137.9999999999995	56921.00000000001	81773.99999999999	22042.000000000007	11002.0	158.0	0	0	1757.9999999999998	19152.0	670.9999999999999	0	0	0	0	0	0	0	0	0
EC-01N	59825.00000000001	2710.0000000000014	62535.00000000004	87609.00000000001	27415.000000000004	25829.99999999999	73.0	0	0	1890.0000000000002	4351.0	266.0	0	0	0	0	0	0	0	0	0
EC-01O	61307.99999999999	2463.0	63771.0	95786.0	33090.0	22024.0	301.0	0	0	3796.0	1859.0000000000002	238.00000000000003	0	0	0	0	0	0	0	0	0
EC-01P	19198	507	19705	20589	9916	6067	56	0	0	1009	1972	178	0	0	0	0	0	0	0	0	0
EC-02	712436.9999999993	32497.000000000004	744933.9999999998	969658.0000000016	385733.00000000047	294490.0000000004	0	0	0	21665.000000000033	0	10548.99999999998	0	0	0	0	0	0	0	0	0
EC-02A	48611.0	2200.0	50810.99999999999	67600.99999999999	28841.000000000007	17229.0	0	0	0	2028.9999999999998	0	511.99999999999994	0	0	0	0	0	0	0	0	0
EC-02B	46295.999999999985	2402.9999999999995	48698.99999999999	67617.99999999999	30609.999999999985	12566.0	0	0	0	1810.0	0	1310.0000000000002	0	0	0	0	0	0	0	0	0
EC-02C	53967.00000000001	2457.0000000000005	56423.999999999985	75135.00000000001	28659.999999999996	22318.0	0	0	0	2656.0	0	332.99999999999983	0	0	0	0	0	0	0	0	0
EC-02D	51799.00000000002	2535.9999999999995	54334.99999999996	67159.00000000001	27430.00000000001	23286.0	0	0	0	849.9999999999999	0	233.00000000000009	0	0	0	0	0	0	0	0	0
EC-02E	58339.0	2712.9999999999986	61051.99999999997	77242.0	33178.999999999985	22985.0	0	0	0	557.0	0	1617.9999999999993	0	0	0	0	0	0	0	0	0
EC-02F	58852.999999999985	2436.0000000000005	61289.00000000002	76279.00000000003	32021.00000000002	25061.0	0	0	0	1014.9999999999994	0	756.0000000000002	0	0	0	0	0	0	0	0	0
EC-02G	56700.99999999998	2676.999999999999	59377.99999999999	77198.00000000003	25194.000000000015	28576.0	0	0	0	1165.9999999999993	0	1765.0000000000007	0	0	0	0	0	0	0	0	0
EC-02H	60426.00000000001	2296.9999999999995	62723.00000000003	82688.99999999997	30376.000000000004	27764.999999999985	0	0	0	1426.0	0	859.0000000000002	0	0	0	0	0	0	0	0	0
EC-02I	55936.00000000001	2639.9999999999986	58575.99999999999	80113.00000000003	34415.00000000001	19230.000000000004	0	0	0	1901.0000000000005	0	390.0	0	0	0	0	0	0	0	0	0
EC-02J	56295.99999999999	2631.000000000002	58927.000000000015	78192.0	28309.999999999996	25360.99999999999	0	0	0	2112.0	0	513.0000000000001	0	0	0	0	0	0	0	0	0
