entity_id	valid	rejected	polled	electors	UNP	SLFP	SLMP
EC-01	47591.86788978599	864.0710273869706	48455.93891717296	64107.22626307029	23794.54492624595	21344.335570917803	2452.987392622231
EC-01A	2541.7773028424876	46.46614813910176	2588.2434509815894	3888.8646917839587	1607.9298155894116	771.6109669343266	162.23652031874943
EC-01B	3180.8781027100426	55.93284463428212	3236.810947344325	4764.966000905256	2091.9666668400873	928.051136511438	160.86029935851747
EC-01C	1783.311794312184	28.487773645413448	1811.7995679575974	2735.5684364073672	939.2401843974791	746.90489499588	97.16671491882502
EC-01D	4284.872346129101	88.47387947673172	4373.346225605833	6804.916630924297	2189.263564229037	1790.3340446064765	305.2747372935878
EC-01E	4657.108335466881	67.70952050034747	4724.817855967229	7368.854833400387	2904.3820635675356	1479.5124172488204	273.21385465052487
EC-01F	3331.6417346732314	47.29345113644028	3378.9351858096716	4817.474640857895	1666.7303567815472	1509.6615296418695	155.24984824981453
EC-01G	3846.130086067891	58.34129792892593	3904.471383996817	5519.246623248801	1839.049578036982	1828.959730278726	178.12077775218313
EC-01H	911.7178942755638	15.072211469739731	926.7901057453035	1343.0068288407665	424.20552776140266	444.71012640398146	42.80224011017962
EC-01I	1328.53506113104	17.15359231760333	1345.6886534486434	2047.2797196963377	573.8379355412808	688.7944254423774	65.90270014738188
EC-01J	819.8921604024742	11.889763966973629	831.7819243694479	1293.6092699203703	337.39786780722187	451.3979868354752	31.09630575977718
EC-01K	243.20318521670416	2.8169108260895994	246.02009604279377	340.46073794906084	120.04982067959395	117.22796790468665	5.925396632423561
EC-01L	349.9199109593653	4.741481132337039	354.66139209170234	607.4333126047159	145.31696960814992	192.5222898652904	12.080651485925005
EC-01M	1060.6839728545028	15.181582604888428	1075.865555459391	1629.2040341507868	404.7772409544707	611.862602648366	44.04412925166604
EC-01N	842.8792449598748	11.767456938735565	854.6467018986103	1195.1800376786064	342.0327159587656	471.01957330201606	29.826955699093105
EC-01O	1969.3167577846448	29.743112669360592	1999.0598704540052	2948.160464701688	960.3646184929879	902.7658782980747	106.18626099358212
EC-01P	16440	363	16803	16803	7248	8409	783
EC-02	24768.97431226966	610.2978307787145	25379.272143048376	28845.302580100437	11408.4950959218	12434.737581449202	925.741634898658
EC-02A	1419.6510354650336	19.21449366187153	1438.8655291269051	1975.6019256516165	806.2297678393392	558.5762939752173	54.844973650477144
EC-02B	635.1076363482862	7.87561912534474	642.983255473631	915.6916615072888	389.2997692350988	222.73109557043958	23.076771542747792
EC-02C	580.7377031526622	8.497844094196498	589.2355472468587	790.3615288193562	297.32116319840793	262.36835190585515	21.048188048399116
EC-02D	488.6222604211431	6.879130943239378	495.50139136438247	633.9276772316427	239.1193332722777	239.72195255975822	9.780974589107203
EC-02E	324.1009782476607	5.011179973265281	329.112158220926	460.05545631303926	156.36629602624862	161.47653420828777	6.258148013124316
EC-02F	497.6601656470271	6.777425125188553	504.4375907722157	641.234782511173	241.71994773763393	244.40627260543593	11.533945303957246
EC-02G	452.71582361079214	5.594722662529335	458.3105462733215	602.6467790990102	169.30315844894895	272.1851604989442	11.227504662899007
EC-02H	801.1540773118427	9.29760152175123	810.451678833594	1101.5787966630749	334.6104913819707	442.828899108096	23.71468682177602
