entity_id	valid	rejected	polled	electors	UNP	PA	IND1	MEP	SLPF	NSSP	TKLO	DWC
EC-01	60047.20589052304	1834.5549168221405	61881.76080734516	76113.53229773196	23819.727846146947	31596.1621970064	1230.289823197883	2548.728917984761	652.2972070716312	114.1545297538581	52.169847813739	33.675521547809865
EC-01A	3223.831412389705	186.22368180014044	3410.055094189845	4562.444295179068	1761.1172869660795	1302.7757762647695	90.05958232833633	28.6553216499252	19.247183464110158	11.275402253228712	6.894513479681251	3.806345983574024
EC-01B	3405.4278371165024	213.3062363756497	3618.734073492152	4946.142874237167	1783.8734723819139	1496.523820176785	54.29613289561992	31.23984579446546	17.861506365400526	11.350240100722644	4.625489696219259	5.657329705375863
EC-01C	2056.257777876757	87.00474355833686	2143.2625214350933	2969.0654187916175	974.8641738859319	957.0521791417054	14.729149500033406	76.78568247110438	23.635146872146628	5.309344587221344	2.055230162795359	1.8268712558180968
EC-01D	5304.8459897061975	214.94104653656444	5519.787036242762	7578.598123525628	2372.3221316748873	2419.215944670813	211.61995496461506	214.54251554793052	65.49192579884195	7.704932446922582	11.557398670383874	2.3911859318035598
EC-01E	5033.668300354779	162.54244541165284	5196.2107457664315	7308.47061190154	2570.3880253099737	1777.2759226070737	556.9207051680626	91.46724699169745	17.81829486851249	8.71116638016166	6.13741267693208	4.949526352364581
EC-01F	3659.3307816820666	115.77800633978553	3775.108788021852	5029.567579415931	1540.8570176030216	1899.1958589060498	73.9414918729345	104.13654144466177	29.740304849261484	6.457375059013961	4.001753557698793	1.0004383894246982
EC-01G	4399.473321047893	165.03394551127678	4564.50726655917	5968.894195129103	1584.4057964944611	2594.0898686993487	31.068739136808162	105.99335120306579	66.53305551483678	11.488440516826168	4.994974137750508	0.8990953447950915
EC-01H	1182.218820264285	49.26429543996202	1231.483115704247	1600.725667363984	475.70668850782783	655.7743456781106	0.7456217688210468	29.221272178081975	16.598960805897114	2.449900097554868	1.2604558472927219	0.46157538069874327
EC-01I	1594.6747216892372	45.24526570451322	1639.9199873937505	2169.7313849262628	646.38270163047	856.3390154148475	4.265546935105624	60.1746799773829	22.607398756059805	3.168692008935606	1.1882595033508523	0.5484274630850088
EC-01J	1236.0634023829457	44.402220273685636	1280.4656226566312	1669.4792275859882	452.4010934728874	691.8337968822533	0.8408393872425518	63.83003558944775	22.732166591943376	2.6995369800945084	1.3866474105403486	0.3392860685364683
EC-01K	307.06304783903715	14.242696492614431	321.30574433165157	401.3504893319555	142.16998358762385	102.70358032946325	0.22732964561424837	58.54232569448666	2.3523676372257007	0.4694851376815999	0.3607622636921768	0.2372135432496505
EC-01L	520.5434013680888	20.516158419449518	541.0595597875383	743.9446743956684	206.46042880512064	279.5588448482784	0.2164741017709105	23.805168159259157	8.239981938376593	1.180133006428512	0.740201767345694	0.3421687415088585
EC-01M	1455.755914531394	40.57516685927819	1496.3310813906721	1974.5217006155083	492.45623984971206	799.6932742092321	0.9939161910774196	135.09464777546418	22.255927259027708	2.9622600204660348	1.7344811961939284	0.5651680302204934
EC-01N	1116.5429022313565	39.251631108501336	1155.7945333398577	1485.2967149474782	396.0639516865662	660.5572926861095	0.441781659816011	36.26625807398708	18.983224049063743	2.208908299080055	1.4056689175963986	0.6158168591374699
EC-01O	2280.508260042786	82.22737699072974	2362.7356370335156	2978.299340385073	924.2588542904683	1268.5726764915617	2.922557642025196	46.97402543380081	30.199762300927027	4.718712859519848	1.8265985262657476	1.035072498217257
EC-01P	23271	354	23625	24727	7496	13835	187	1442	268	32	2	9
EC-02	36892.643847190244	1199.3520045892933	38091.99585177953	42585.94339333863	13958.599698373628	22387.116678967377			546.9274698492377			
EC-02A	1857.5741575274178	75.79050277738214	1933.3646603047998	2467.1871471300383	908.2743085030622	932.1914485116081			17.108400512747473			
EC-02B	774.7221041819103	34.42732312714583	809.1494273090561	1081.240663871222	384.04041199977485	386.80425789384816			3.877434288287274			
EC-02C	733.3163904838619	31.46890197412913	764.785292457991	951.3760321856706	306.1808376372478	420.5915926134919			6.543960233122122			
EC-02D	580.5077951629834	20.65593496164061	601.163730124624	714.836269875376	270.1681331764673	305.49089448878806			4.8487674977280255			
EC-02E	402.6657917122372	15.960025519504192	418.6258172317414	521.2501215214485	177.67546481954065	218.58067808968283			6.409648803013732			
EC-02F	576.6315447118	18.796059013856254	595.4276037256561	732.7176991100818	241.97461462112585	327.72341881108724			6.933511279586835			
EC-02G	538.5167948380448	20.08010664456107	558.5969014826059	699.5839125783451	184.732414009421	347.32190526333477			6.462475565288988			
EC-02H	983.8564606130514	31.67116412957145	1015.5276247426227	1294.9070102748562	349.89157016598625	616.68502076725			17.279869679815043			
EC-02I	1194.8693734151775	41.64093568412225	1236.5103090992998	1578.44614208941	516.675279499407	662.4591084800095			15.734985435761036			
EC-02J	1209.032279023207	44.02592621112512	1253.058205234332	1608.3974405867687	478.3494768555505	711.8426572080353			18.840144959621142			
EC-02K	666.6906918606538	24.671471705464107	691.3621635661179	851.118145514756	281.0282783026525	379.42839518197457			6.234018376026752			
EC-02L	1376.9867031111826	53.30140686550366	1430.2881099766862	1810.4059811881984	573.6022027494172	779.8447302837849			23.539770077980545			
EC-02M	1192.2737605487152	46.86224597528742	1239.1360065240026	1613.476827412461	485.0067060339743	680.1525713744821			27.114483140258773			
EC-02P	24805	740	25545	26661	8801	15618			386			
EC-03	19081.292920181462	447.0268770090651	19528.31979719053	21177.833329150722	7355.160889568357	11049.936997091485		442.1026921946605	226.25906446650197			
EC-03A	930.2761276539925	36.58786050259543	966.8639881565879	1240.1927552798757	355.79686299495904	544.3725240335064		16.105859865449844	13.43309034349643			
EC-03B	182.85513703106616	8.296926059866673	191.15206309093284	235.09132499673214	77.38463465644197	101.3695045967496		1.9175961831728463	2.099320291054856			
EC-03C	574.4021045079517	24.899007533181873	599.3011120411336	730.0677747219897	258.3834509147435	303.4941528159751		7.2278369006337435	4.827932560086094			
EC-03D	713.8224787905849	45.76029488149154	759.5827736720764	925.6306235704717	348.29727808709754	357.2264737240179		4.471928849360756	3.3136259670673143			
EC-03E	313.3540682703827	21.52451702628644	334.87858529666914	427.5823430593614	141.5047574459882	162.81584346556878		3.5749693623232313	5.170366137449569			
EC-03F	766.3881872095906	36.44711767659753	802.8353048861882	1040.0724696639354	330.6832908511896	413.3119990338226		8.747789551299572	13.320224254867437			
EC-03G	373.84119440622175	16.289060368917795	390.1302547751396	486.9238584218853	168.77324830725772	195.61971036982706		4.506349677818257	4.697985682158466			
