entity_id	valid	rejected	polled	electors	PA	UNP	SMBP	Ind 1	Ind 2	SLPF
EC-01	57498.24136680542	1127.6956480241033	58625.937014829535	74911.53229773197	38074.78560358844	18456.64672401444	483.30405718614713	251.295487997265	115.03528844070091	117.17420557842684
EC-01A	3060.0148993985285	68.01150276310567	3128.026402161634	4562.444295179068	1885.218529600342	1143.6274234421273	8.474506152108203	7.397238420908009	9.910863127041798	5.386338656000977
EC-01B	3237.8072066635104	71.87299374125311	3309.6802004047636	4946.142874237167	2000.3108094750041	1203.4812575763094	8.717269042874758	10.353980781536958	9.64236698211861	5.301522805666689
EC-01C	1970.2806493998175	35.22436140124268	2005.50501080106	2969.0654187916175	1189.5786361713026	751.414983408681	13.473175511658464	7.079126116295125	5.48061376745429	3.254114424425985
EC-01D	4970.345646579455	111.9872078061334	5082.332854385589	7578.598123525628	3170.5797019086426	1701.195946815355	49.55068625348488	24.17754664379155	15.277021230967188	9.564743727214239
EC-01E	4619.293954134816	91.07128488350828	4710.365239018324	7308.47061190154	2836.870524121283	1694.1238798873487	35.43860868293039	35.63658973702498	13.46271167843166	3.761640027797081
EC-01F	3407.856950158495	55.84265191879679	3463.6996020772913	5029.567579415931	2180.682842112363	1162.6003574559925	29.649355904768328	17.735044176165104	10.095332838740136	7.094017670466042
EC-01G	4147.726624505267	88.61084120369401	4236.337465708961	5968.894195129103	2863.7185726551215	1226.2661508177498	27.272558792117774	15.084821896006535	8.291657068665844	7.092863275605722
EC-01H	1109.520697804233	19.883247168561248	1129.403944972794	1600.725667363984	715.3708284860214	378.367541878166	5.858456755022511	3.568332750786438	3.5860856500440823	2.7694522841924596
EC-01I	1491.2656767053195	23.216762603932036	1514.4824393092515	2169.7313849262628	964.1964164882326	497.576049980071	15.873928237071642	7.06862063531789	3.5952467024461683	2.955414662180325
EC-01J	1134.646371026936	21.316016045008553	1155.9623870719447	1669.4792275859882	765.2523517999056	346.2930634301562	8.836189350145414	7.685567030760868	3.555127935534298	3.024071480433739
EC-01K	275.4049237128442	6.488778797641481	281.8937025104857	401.3504893319555	153.85275059266914	114.28750835815453	3.8893137195307275	1.1366482280712418	1.433165157133305	0.8055376572852714
EC-01L	479.1689157876809	7.6953051661788185	486.86422095385973	743.9446743956684	314.7393779038219	156.20352201656442	3.100467780202718	1.98318209364318	1.9482669159381945	1.1940990775105063
EC-01M	1335.3751240944289	25.880798073545357	1361.2559221679742	1974.5217006155083	931.903616175295	380.29961868009343	12.433696664850856	4.677252663893739	3.0791913370633783	2.9817485732322586
EC-01N	1038.5617456123182	15.515907385659293	1054.0776529979773	1485.2967149474782	727.2930979643766	296.26145853722187	6.211717883473609	3.587802570626998	2.811337835192797	2.396330821426241
EC-01O	2150.971981221773	30.077989065842644	2181.049970287616	2978.299340385073	1382.2175481340623	745.6479617304493	8.524126455906822	7.123734252436416	3.866300213929166	3.5923104349893036
EC-01P	23070	455	23525	23525	15993	6659	246	97	19	56
EC-02	34807.47879159011	649.6752480922787	35457.15403968239	39741.94339333863	23532.343057474776	10807.292789388404	239.16936299130555	89.09035035225037	58.94472687632109	80.63850450705726
EC-02A	1780.6584816977638	26.60024497934767	1807.2587266771116	2467.1871471300383	1078.2331405782652	682.9223415467882	5.2796581683520865	6.174026491952714	5.193106395100413	2.856208517305227
EC-02B	729.1723138402657	10.210129734901784	739.3824435751675	1081.240663871222	424.61259638655935	296.92559942590196	1.784424776270614	2.307677154274779	2.4686778859683685	1.073338211290595
EC-02C	706.1170865765249	8.932040507768583	715.0491270842936	951.3760321856706	443.6660305918941	254.69754859941503	1.9021938118396056	1.9332078413804688	2.594840471585549	1.3232652604101605
EC-02D	552.8985607304135	7.7135268797508925	560.6120876101644	714.836269875376	326.5269431548395	220.17854551346628	1.5668101474494	1.381388828224619	2.1787005008911775	1.0661725855424913
EC-02E	371.88199659739945	8.425774699234415	380.30777129663386	521.2501215214485	234.75630088710656	131.6017438327865	1.573277433467007	1.2120063191153239	1.4450844574067323	1.2935836675173167
EC-02F	540.4277719521564	7.327834195961442	547.7556061481177	732.7176991100818	345.3693693188509	187.62377264749256	2.4563031665834876	1.9141091565684034	2.0701953109666853	0.9940223516943212
EC-02G	536.7203940919809	8.106638959991486	544.8270330519724	699.5839125783451	395.23099973674925	132.72813478438644	2.846838470457104	1.5680447190218274	3.014299556954581	1.3320768244117467
EC-02H	932.3650280522293	12.353817278554336	944.7188453307837	1294.9070102748562	660.2070805951424	259.12067264642053	5.196856329078703	3.172274583010821	2.772516403850921	1.8956274947259786
EC-02I	1123.0237543481821	18.50888493010654	1141.5326392782886	1578.44614208941	716.4447079956927	393.53685223872446	4.314954768981893	3.8283057348861904	2.465688439418224	2.4332451704785107
EC-02J	1138.1808722603498	17.446400554427235	1155.627272814777	1608.3974405867687	762.3617926480638	359.6680415050389	5.099464823709464	3.8532933555360906	4.11564524357259	3.0826346844288723
EC-02K	633.4567059511055	9.176390376935814	642.6330963280412	851.118145514756	414.377000746729	210.83471315866367	2.413168403623259	1.6087789357488393	2.9952923606376416	1.2277523457030615
EC-02L	1281.2103866870327	20.88929978294075	1302.0996864699734	1810.4059811881984	818.9279363292869	441.9996141168904	7.63694830774178	5.27847897740976	4.514784146635582	2.852624809068253
EC-02M	1139.3654388047094	18.98426521235774	1158.349704017067	1613.476827412461	734.6291585055956	388.4552093724288	7.098464383751155	3.858758255120541	3.115895703332629	2.2079525844807373
EC-02P	23342	475	23817	23817	16177	6847	190	51	20	57
EC-03	17804.904458972527	288.5967110232606	18093.501169995787	19575.83332915072	11536.892090193842	6027.2245217354275	114.07030683520588	45.91740377556637	27.412939953352744	53.3871964791318
EC-03A	884.2020126304743	12.768360099694545	896.9703727301688	1240.1927552798757	594.8089312819744	277.4140884133201	4.708505893596687	2.7420122556827766	2.298858759814853	2.22961602608549
EC-03B	176.5707376584898	2.5197268092893554	179.09046446777916	235.09132499673214	109.8562916648512	64.15945928281991	0.7133349309398282	0.5072001219990414	0.8543745370572088	0.48007712082262205
EC-03C	552.3717326318307	8.73715173980629	561.1088843716369	730.0677747219897	338.0865239746502	205.17307186416357	2.4561520985292358	1.987420782016023	3.2904938419227547	1.378070070548846
EC-03D	702.2394499676506	11.319111710513127	713.5585616781636	925.6306235704717	396.93133708162094	294.6194698329673	2.5218746298034427	1.9207300959549476	4.120039366132368	2.125998961171507
EC-03E	294.80157801247543	5.575885050190712	300.3774630626661	427.5823430593614	179.9543533040497	110.27446538975256	1.077826583864616	0.8964102281646311	1.5260316979469315	1.0724908086969693
EC-03F	727.8955066392916	11.178399577933016	739.0739062172247	1040.0724696639354	451.1067816756822	267.23474297773345	2.7193953763324665	2.045562893701413	2.8517553282778523	1.9372683875642793
EC-03G	351.3326746237172	3.8327200868041875	355.16539471052135	486.9238584218853	211.17126247961738	136.392570725409	0.6678224393673963	0.7839654723008564	1.4285593050815608	0.8884942019409707
EC-03H	350.49076680859645	5.6653559490293715	356.15612275762584	498.272179436469	205.97660873139597	138.95665324926128	1.2053948827722065	1.0341019257466826	2.0428271171192134	1.2751809023011238
EC-03P	13765	227	13992	13992	9049	4533	98	34	9	42
EC-04	27028.872066267933	529.3884235755963	27558.260489843527	30451.553118982916	15850.154852512364	10811.788564417897	151.25666727530364	68.04040773585147	81.8102484819803	65.82132584453376
EC-04A	218.05317324185248	3.4554326610279764	221.50860590288045	290.48358668007336	115.54646004613474	99.33199266575974	0.7886674158632518	0.6349441059916011	1.3434080558348613	0.40770095226829123
EC-04B	447.3943499942239	9.81334957064192	457.20769956486583	592.6308386922869	261.11429974200007	179.05430031961185	1.6436953675536217	1.2368400785552005	3.1571970426277485	1.1880174438753899
EC-04C	935.0467313675576	35.205169000141424	970.251900367699	1224.9779203790129	491.89207679253286	426.10614658464146	3.729361122896337	3.5588760429925044	7.437411610804695	2.3228592136897186
EC-04D	283.92048371841645	7.147088231320092	291.06757194973653	342.1307931360627	183.83721118767733	95.3960005404675	0.689069044723686	0.769193352249696	2.219443318470477	1.0095662748277259
EC-04E	115.14729495035554	2.816053347314612	117.96334829767017	148.65157125536587	64.47185175475964	48.40007209096569	0.41452305272471085	0.4055116820133041	1.0723531146574041	0.3829832552347872
EC-04F	1436.0761784843	35.98512630833399	1472.061304792634	1894.9614385771622	803.923034547887	607.286456283938	7.922719760761785	4.06122609585268	9.487290469819785	3.395451326040765
EC-04G	423.6051980617397	10.267662905357325	433.87286096709704	561.6110602826066	215.19728236928603	201.51821354749077	1.1928772322184948	1.3266578563925318	3.5451865406119754	0.8249805157398936
EC-04H	1152.5502033044763	26.168889521589424	1178.7190928260657	1599.401208260301	640.5352201649569	492.1587643358572	9.61247586593471	3.529356810477521	4.935360743106777	1.7790253841431405
EC-04I	812.1231646815434	20.328358808524314	832.4515234900676	1127.4742402635225	430.2429148171209	365.3176933737723	8.996083314921565	2.719746118464659	3.4171169180709824	1.4296101391929619
